Character,Label
Spider-Man,Hero
Doctor Strange,Hero
Iron Man,Hero
Luke Cage,Hero
Hawkeye,Hero
Deadpool,Hero
Thing,Hero
Moon Knight,Hero
Black Widow,Hero
Hulk,Hero
Star-Lord,Hero
Daredevil,Hero
Nightcrawler,Hero
Captain Marvel,Hero
Quicksilver,Hero
Nova,Hero
Ghost Rider,Hero
Blade,Hero
Kitty Pryde,Hero
Namor McKenzie,Hero
Invisible Woman,Hero
Silver Surfer,Hero
Black Panther,Hero
Elektra Natchios,Hero
Cyclops,Hero
Quasar,Hero
Wasp,Hero
Black Bolt,Hero
Ant-Man,Hero
X-23,Hero
Storm,Hero
Vision,Hero
Gamora,Hero
Captain America,Hero
Scarlet Witch,Hero
Falcon,Hero
Rocket Raccoon,Hero
Drax the Destroyer,Hero
Mr Fantastic,Hero
Groot,Hero
Rogue,Hero
Jean Grey,Hero
Cable,Hero
She-Hulk,Hero
Thor,Hero
Black Knight,Hero
Gambit,Hero
Wolverine,Hero
Iron Fist,Hero
The Punisher,Hero
Magneto,Villain
Doctor Doom,Villain
Venom,Villain
Juggernaut,Villain
Apocalypse,Villain
Thanos,Villain
Galactus,Villain
Loki,Villain
Sabretooth,Villain
Bullseye,Villain
Kingpin,Villain
Carnage,Villain
Mystique,Villain
Ultron,Villain
Doctor Octopus,Villain
Red Skull,Villain
Sandman,Villain
Lizard,Villain
Abomination,Villain
Mephisto,Villain
Mr Sinister,Villain
Mysterio,Villain
Omega Red,Villain
Dormammu,Villain
Blackheart,Villain
Onslaught,Villain
Super-Skrull,Villain
Mandarin,Villain
Kraven the Hunter,Villain
Hobgoblin,Villain
Pyro,Villain
Rhino,Villain
Lady Deathstrike,Villain
Scorpion,Villain
Vulcan,Villain
Electro,Villain
Silver Samurai,Villain
Absorbing Man,Villain
Barracuda,Villain
Iron Monger,Villain
The Hood,Villain
Morbius,Villain
Chameleon,Villain
Daken Akihiro,Villain
Sebastian Hiram Shaw,Villain
Jigsaw,Villain
Taskmaster,Villain
Kang the Conqueror,Villain
Green Goblin,Villain
Viper,Villain
